FECHA (YYMMDD);HORA (HHMM);;
140216;2200;0;
140216;2300;0;
140217;0000;0;
140217;0100;0;
140217;0200;0;
140217;0300;0;
140217;0400;0;
140217;0500;0;
140217;0600;14,2964;
140217;0700;163,875;
140217;0800;366,508;
140217;0900;572,482;
140217;1000;750,25;
140217;1100;877,417;
140217;1200;941,167;
140217;1300;946,667;
140217;1400;883,25;
140217;1500;752,324;
140217;1600;578,274;
140217;1700;373,217;
140217;1800;161,371;
140217;1900;16,7623;
140217;2000;0;
140217;2100;0;
140217;2200;0;
140217;2300;0;
140218;0000;0;
140218;0100;0;
140218;0200;0;
140218;0300;0;
140218;0400;0;
140218;0500;0;
140218;0600;3,88967;
140218;0700;41,5016;
140218;0800;130,433;
140218;0900;260,633;
140218;1000;678,883;
140218;1100;854,333;
140218;1200;926,25;
140218;1300;926,083;
140218;1400;868,167;
140218;1500;743,25;
140218;1600;569,741;
140218;1700;361,767;
140218;1800;163,796;
140218;1900;16,2477;
140218;2000;0;
140218;2100;0;
140218;2200;0;
140218;2300;0;
140219;0000;0;
140219;0100;0;
140219;0200;0;
140219;0300;0;
140219;0400;0;
140219;0500;0;
140219;0600;12,5506;
140219;0700;155,63;
140219;0800;351,817;
140219;0900;554,032;
140219;1000;729,875;
140219;1100;856,75;
140219;1200;925,917;
140219;1300;928,75;
140219;1400;858,083;
140219;1500;732,949;
140219;1600;558,517;
140219;1700;358,242;
140219;1800;153,27;
140219;1900;14,9791;
140219;2000;0;
140219;2100;0;
140219;2200;0;
140219;2300;0;
140220;0000;0;
140220;0100;0;
140220;0200;0;
140220;0300;0;
140220;0400;0;
140220;0500;0;
140220;0600;11,2193;
140220;0700;145,586;
140220;0800;345,058;
140220;0900;545,816;
140220;1000;725,892;
140220;1100;859,167;
140220;1200;922,75;
140220;1300;917,167;
140220;1400;849,074;
140220;1500;719,892;
140220;1600;559,55;
140220;1700;359,617;
140220;1800;157,393;
140220;1900;13,9152;
140220;2000;0;
140220;2100;0;
140220;2200;0;
140220;2300;0;
140221;0000;0;
140221;0100;0;
140221;0200;0;
140221;0300;0;
140221;0400;0;
140221;0500;0;
140221;0600;10,1476;
140221;0700;147,193;
140221;0800;349,892;
140221;0900;556,675;
140221;1000;736,883;
140221;1100;867,833;
140221;1200;932;
140221;1300;930,667;
140221;1400;861,833;
140221;1500;741,258;
140221;1600;569,558;
140221;1700;362,108;
140221;1800;160,255;
140221;1900;13,8259;
140221;2000;0;
140221;2100;0;
140221;2200;0;
140221;2300;0;
140222;0000;0;
140222;0100;0;
140222;0200;0;
140222;0300;0;
140222;0400;0;
140222;0500;0;
140222;0600;10,2747;
140222;0700;158,586;
140222;0800;365,158;
140222;0900;570,399;
140222;1000;748,199;
140222;1100;879,583;
140222;1200;945,667;
140222;1300;940,5;
140222;1400;871,917;
140222;1500;748,125;
140222;1600;566,725;
140222;1700;361;
140222;1800;155,07;
140222;1900;12,2392;
140222;2000;0;
140222;2100;0;
140222;2200;0;
140222;2300;0;
140223;0000;0;
140223;0100;0;
140223;0200;0;
140223;0300;0;
140223;0400;0;
140223;0500;0;
140223;0600;9,67841;
140223;0700;138,523;
140223;0800;349,283;
140223;0900;553,691;
140223;1000;729,292;
140223;1100;855,833;
140223;1200;920,083;
140223;1300;917,583;
140223;1400;855,417;
140223;1500;729,767;
140223;1600;555,508;
140223;1700;349,525;
140223;1800;144,435;
140223;1900;10,0775;
140223;2000;0;
140223;2100;0;
140223;2200;0;
140223;2300;0;
140224;0000;0;
140224;0100;0;
140224;0200;0;
140224;0300;0;
140224;0400;0;
140224;0500;0;
140224;0600;7,59492;
140224;0700;150,337;
140224;0800;191,242;
140224;0900;279,758;
140224;1000;324,05;
